date	symbol	interval	open	high	low	close	adjusted_close	volume
2023-10-08	BTC-USD.CC	d	27971.678107209	28102.170390926	27740.663024488	27935.089580661	27935.089580661	7916875290
2023-10-09	BTC-USD.CC	d	27934.47216234	27989.47090197	27302.561918923	27583.678594955	27583.678594955	12007668568
2023-10-10	BTC-USD.CC	d	27589.201101599	27715.84834742	27301.655078145	27391.019517437	27391.019517437	9973350678
2023-10-11	BTC-USD.CC	d	27392.075546082	27474.116186529	26561.099365503	26873.321120759	26873.321120759	13648094333
2023-10-12	BTC-USD.CC	d	26873.292491391	26921.438902881	26558.320783999	26756.798638829	26756.798638829	9392909295
2023-10-13	BTC-USD.CC	d	26752.879558414	27092.696746124	26686.322309442	26862.375445622	26862.375445622	15165312851
2023-10-14	BTC-USD.CC	d	26866.203244947	26968.999218177	26814.586586246	26861.70620256	26861.70620256	5388116782
2023-10-15	BTC-USD.CC	d	26858.011725692	27289.170319398	26817.894010482	27159.65291878	27159.65291878	7098201980
2023-10-16	BTC-USD.CC	d	27162.628228882	29448.139037144	27130.473478167	28519.466679449	28519.466679449	27833876539
2023-10-17	BTC-USD.CC	d	28522.098165919	28618.75238983	28110.186117224	28415.748139707	28415.748139707	14872527508
2023-10-18	BTC-USD.CC	d	28413.53080769	28889.009589157	28174.252550951	28328.341151993	28328.341151993	12724128586
2023-10-19	BTC-USD.CC	d	28332.415305723	28892.473676821	28177.987543782	28719.806132906	28719.806132906	14448058195
2023-10-20	BTC-USD.CC	d	28732.81154763	30104.085612974	28601.670157125	29682.949273604	29682.949273604	21536125230
2023-10-21	BTC-USD.CC	d	29683.381817218	30287.48164865	29481.752314224	29918.411667929	29918.411667929	11541146996
2023-10-22	BTC-USD.CC	d	29918.65503535	30199.433111792	29720.313449616	29993.896524372	29993.896524372	10446520040
2023-10-23	BTC-USD.CC	d	30140.684862972	34370.438769449	30097.828742278	33086.232968578	33086.232968578	38363572311
2023-10-24	BTC-USD.CC	d	33077.303947725	35150.433498755	32880.76173037	33901.526563363	33901.526563363	44934999645
2023-10-25	BTC-USD.CC	d	33916.044054764	35133.75756928	33709.110309972	34502.820891545	34502.820891545	25254318008
2023-10-26	BTC-USD.CC	d	34504.287422313	34832.908540198	33762.323289455	34156.649828389	34156.649828389	19427195376
2023-10-27	BTC-USD.CC	d	34156.500686246	34238.21077103	33416.885486	33909.799284311	33909.799284311	16418032871
2023-10-28	BTC-USD.CC	d	33907.72365386	34399.388977626	33874.80478364	34089.575872222	34089.575872222	10160330825
2023-10-29	BTC-USD.CC	d	34089.371739319	34743.262415632	33947.567177943	34538.48208811	34538.48208811	11160323986
2023-10-30	BTC-USD.CC	d	34531.741373989	34843.935499651	34110.97396275	34502.364663235	34502.364663235	17184860315
2023-10-31	BTC-USD.CC	d	34500.077738405	34719.254049215	34083.309459203	34667.779360547	34667.779360547	15758270810
2023-11-01	BTC-USD.CC	d	34657.275324496	35527.931560768	34170.692590098	35437.253181087	35437.253181087	22446272005
2023-11-02	BTC-USD.CC	d	35441.577385088	35919.843601777	34401.574905947	34938.242395143	34938.242395143	20998158544
2023-11-03	BTC-USD.CC	d	34942.474318143	34942.474318143	34133.439615384	34732.325584284	34732.325584284	17158456701
2023-11-04	BTC-USD.CC	d	34736.323410672	35256.032746518	34616.693335905	35082.197220853	35082.197220853	9561294264
2023-11-05	BTC-USD.CC	d	35090.013021366	35340.339719072	34594.242577125	35049.355924024	35049.355924024	12412743996
2023-11-06	BTC-USD.CC	d	35044.789919129	35286.026826834	34765.364847101	35037.36944072	35037.36944072	12693436420
2023-11-07	BTC-USD.CC	d	35047.793633037	35892.416369582	34545.815095319	35443.561360715	35443.561360715	18834737789
2023-11-08	BTC-USD.CC	d	35419.476717118	35994.416531488	35147.800805381	35655.276081231	35655.276081231	17295394918
2023-11-09	BTC-USD.CC	d	35633.63439386	37926.256796996	35592.103251935	36693.123633843	36693.123633843	37762672382
2023-11-10	BTC-USD.CC	d	36702.25185833	37493.801300556	36362.755227601	37313.969687457	37313.969687457	22711265155
